author,published_at,updated_at,like_count,text
@janjarac74,2024-12-05T15:24:08Z,2024-12-05T15:24:08Z,0,Price 13?
@algotfbg3057,2024-12-05T15:15:53Z,2024-12-05T15:15:53Z,0,Might be able to afford one in a few months.. holy what a beast I desperately want this phone.
@thilipan4272,2024-12-05T15:04:37Z,2024-12-05T15:04:37Z,1,Watching on OnePlus NORD ce4
@pubgboy1152,2024-12-05T13:06:45Z,2024-12-05T13:06:45Z,0,Next issue coming soon
@MariusCocis,2024-12-05T12:51:24Z,2024-12-05T12:51:43Z,0,Rocking my OnePlus 12 with maximum joy. Somehow they made OnePlus 13 look... cheap. This reiteration of a design I&#39;ve seen in budget phones most often.
@Pascal_86,2024-12-05T12:50:20Z,2024-12-05T12:50:20Z,0,@OnePlus what about the bootloader?
@CreativeVideos-u7v,2024-12-05T12:09:40Z,2024-12-05T12:09:40Z,0,One plus community member is very bad his name is liehjan
@CreativeVideos-u7v,2024-12-05T12:07:37Z,2024-12-05T12:07:37Z,0,Don&#39;t buy one plus mobile
@edmundyhee7687,2024-12-05T12:07:04Z,2024-12-05T12:07:04Z,0,been using oneplus since 7T. never looked back.
@jmcatada,2024-12-05T11:58:27Z,2024-12-05T11:58:27Z,0,13r should have a zoom lense
@ChilllGuyy,2024-12-05T11:47:56Z,2024-12-05T11:47:56Z,0,Launch it sooner
@PocheteVlogs,2024-12-05T11:39:02Z,2024-12-05T11:39:02Z,0,Watching on OnePlus 7 Pro
@2021-m4d,2024-12-05T11:32:04Z,2024-12-05T11:32:04Z,0,Looks the same as previous one
@ssahoo5500,2024-12-05T10:41:04Z,2024-12-05T10:41:04Z,0,The worst chapter!! No curved display 😡
@jamilfox9101,2024-12-05T10:31:57Z,2024-12-05T10:31:57Z,0,Green
@phloxevl0,2024-12-05T09:56:41Z,2024-12-05T09:56:41Z,0,Camera module is way too big to not be centered at the back. The way it looks is as if someone tried to center it but it is slightly off-center.
@vicky2922,2024-12-05T09:07:44Z,2024-12-05T09:07:44Z,1,1+ 13R💥
@JStar-h2r,2024-12-05T08:56:13Z,2024-12-05T08:56:13Z,0,Price
@Babadook007,2024-12-05T08:18:23Z,2024-12-05T08:18:23Z,0,Poor me watching this on my OnePlus 7😂
@EgoGamingYT,2024-12-05T07:36:45Z,2024-12-05T07:36:45Z,0,Watching on OnePlus 7 Pro
